SH_ID,C_ID,SH_CONTENT,SH_DOMAIN,SER_TYPE,SH_WEIGHT,SH_CHARGES,SR_ADDR,DS_ADDR,Current_Status,Sent_date,Delivery_date,ShipmentEfficiency
286,5387,Electronics,Domestic,Regular,193,817,"100 Block of STEUART ST","900 Block of VALENCIA ST",DELIVERED,6/6/2005,9/15/2005,0.2362
892,6513,Luggage,Domestic,Regular,879,1037,"700 Block of FOLSOM ST","300 Block of ARBALLO DR",DELIVERED,11/17/2019,12/12/2019,0.8476
558,3965,"Industrial Equipments",Domestic,Regular,275,951,"1600 Block of VANNESS AV","100 Block of PHELAN AV",DELIVERED,10/27/2013,11/15/2013,0.2892
481,8893,Construction,International,Regular,319,770,"800 Block of MARKET ST","0 Block of GORDON ST","NOT DELIVERED",7/11/2006,,0.4143
155,1897,"Hazardous Goods",Domestic,Express,52,293,"800 Block of BRYANT ST","600 Block of VALENCIA ST","NOT DELIVERED",9/23/2003,,0.1775
771,390,Electronics,Domestic,Regular,702,1414,"SHOTWELL ST / 17TH ST","EDDY ST / HYDE ST",DELIVERED,5/3/2013,11/15/2013,0.4965
945,3633,Healthcare,Domestic,Express,299,524,"1500 Block of BAKER ST","LIPPARD AV / BOSWORTH ST",DELIVERED,4/29/2001,8/10/2001,0.5706
719,7828,"Arts and crafts",Domestic,Regular,930,1183,"100 Block of BERRY ST","KERN ST / DIAMOND ST",DELIVERED,1/22/2006,7/17/2006,0.7861
493,2241,"Home Furnishing",Domestic,Regular,314,566,"700 Block of HOWARD ST","HARRISON ST / 3RD ST","NOT DELIVERED",8/20/1995,,0.5548
998,896,"Hazardous Goods",International,Express,109,961,"0 Block of LEE AV","0 Block of FALLON PL",DELIVERED,11/21/2013,11/15/2013,0.1134
968,6361,"Food and Beverages",Domestic,Regular,24,54,"STOCKTON ST / BROADWAY ST","900 Block of GEARY ST",DELIVERED,1/4/1993,8/2/1993,0.4444
738,6713,Electronics,Domestic,Express,545,1044,"LAKE MERCED BL / BROTHERHOOD WAY","HARRISON ST / THE EMBARCADEROSOUTH ST","NOT DELIVERED",9/19/1977,,0.522
912,4283,Fashion,International,Regular,505,1082,"GEARY ST / POLK ST","1600 Block of LASALLE AV","NOT DELIVERED",12/30/2019,,0.4667
782,9486,Electronics,International,Regular,182,871,"1400 Block of DOUGLASS ST","48TH AV / JUDAH ST",DELIVERED,8/31/2002,10/20/2002,0.209
140,308,Luggage,International,Regular,226,970,"100 Block of FONT BL","1000 Block of KEY AV",DELIVERED,6/10/2006,7/17/2006,0.233
702,8927,"Home Furnishing",International,Regular,111,617,"HOLLOWAY AV / BRIGHTON AV","TAYLOR ST / GOLDEN GATE AV",DELIVERED,7/7/2004,11/20/2004,0.1799
284,249,"Hazardous Goods",International,Express,145,814,"1800 Block of KIRKHAM ST","800 Block of BRYANT ST",DELIVERED,2/6/1982,3/8/1982,0.1781
199,2620,Electronics,Domestic,Regular,829,1145,"500 Block of TUNNEL AV","1600 Block of TURK ST","NOT DELIVERED",7/27/2007,,0.724
228,1164,Electronics,Domestic,Regular,269,902,"800 Block of BRYANT ST","100 Block of SPEAR ST",DELIVERED,3/30/1994,4/9/1994,0.2982
908,4711,"Hazardous Goods",International,Regular,660,1470,"200 Block of CHENERY ST","2900 Block of DIAMOND ST","NOT DELIVERED",1/28/1999,,0.449
594,4053,"Home Furnishing",Domestic,Regular,484,568,"1000 Block of POTRERO AV","400 Block of ROLPH ST","NOT DELIVERED",3/20/2004,,0.8521
542,4272,"Food and Beverages",International,Regular,100,487,"100 Block of HYDE ST","BANCROFT AV / KEITH ST","NOT DELIVERED",5/19/1986,,0.2053
586,7005,Construction,Domestic,Express,711,1197,"1100 Block of HUDSON AV","MYRTLE ST / LARKIN ST","NOT DELIVERED",3/8/1977,,0.594
636,2308,"Home Furnishing",International,Regular,325,994,"STOCKTON ST / POST ST","500 Block of MAGELLAN AV",DELIVERED,2/24/2008,8/9/2008,0.327
581,5150,Automotive,Domestic,Regular,209,933,"LEAVENWORTH ST / TURK ST","1600 Block of 38TH AV","NOT DELIVERED",11/24/2017,,0.224
336,693,Construction,International,Express,996,1168,"800 Block of BRYANT ST","3300 Block of MISSION ST","NOT DELIVERED",10/9/1972,,0.8527
504,9598,Luggage,International,Regular,420,561,"4200 Block of 26TH ST","0 Block of TURK ST",DELIVERED,7/11/1982,10/15/1982,0.7487
346,8103,"Industrial Equipments",International,Express,182,850,"BLAKE ST / GEARY BL","BROADWAY ST / COLUMBUS AV",DELIVERED,6/5/2007,7/12/2007,0.2141
135,8894,Construction,Domestic,Express,901,1393,"WASHINGTON ST / DRUMM ST","1200 Block of PINE ST","NOT DELIVERED",9/10/2004,,0.6468
822,114,Construction,International,Regular,88,426,"EXECUTIVEPARK BL / ALANA WY","900 Block of MISSION ST",DELIVERED,6/30/1991,7/15/1991,0.2066
95,6546,Electronics,Domestic,Regular,660,1208,"0 Block of BROOKDALE AV","1300 Block of EGBERT AV","NOT DELIVERED",4/11/2013,,0.5464
597,3571,Luggage,Domestic,Regular,267,925,"3600 Block of 22ND ST","200 Block of NAGLEE AV","NOT DELIVERED",7/26/2010,,0.2886
340,7316,Fashion,International,Express,905,1392,"700 Block of 3RD ST","FRANCISCO ST / JONES ST","NOT DELIVERED",11/3/1981,,0.6501
905,2478,Luggage,Domestic,Express,799,1425,"1700 Block of 25TH ST","1300 Block of BROADWAY ST",DELIVERED,4/11/1983,9/30/1983,0.5607
250,1215,Construction,International,Express,773,1225,"1200 Block of POLK ST","1200 Block of MARKET ST",DELIVERED,9/18/2006,10/22/2006,0.631
400,5402,Luggage,Domestic,Express,78,403,"EARL ST / LASALLE AV","1400 Block of KIRKWOOD CT","NOT DELIVERED",1/7/2003,,0.1935
877,1647,"Industrial Equipments",Domestic,Express,791,1169,"CLARA ST / 4TH ST","100 Block of ATOLL CR",DELIVERED,1/25/2000,3/22/2000,0.6766
97,9423,Construction,Domestic,Express,603,1167,"0 Block of STEINER ST","1100 Block of FRANCISCO ST","NOT DELIVERED",5/25/2011,,0.5167
12,6404,Construction,Domestic,Regular,360,565,"1800 Block of 8TH AV","JONES ST / GOLDEN GATE AV","NOT DELIVERED",6/18/2000,,0.6372
353,6767,Fashion,Domestic,Express,84,354,"HARRISON ST / 11TH ST","BROADWAY ST / KEARNY ST",DELIVERED,8/2/2012,10/4/2012,0.2373
856,1278,Automotive,Domestic,Regular,880,1178,"500 Block of HYDE ST","400 Block of CAPP ST",DELIVERED,6/26/1977,11/8/1977,0.747
1,1334,"Arts and crafts",International,Express,947,1385,"LARKIN ST / ELLIS ST","2700 Block of DIAMOND ST",DELIVERED,2/13/2010,11/30/2010,0.6838
390,8887,Automotive,Domestic,Regular,234,780,"6500 Block of 3RD ST","800 Block of 33RD AV",DELIVERED,3/24/2009,3/9/2009,0.3
446,9858,"Food and Beverages",Domestic,Express,931,1247,"0 Block of WHITFIELD CT","1500 Block of POWELL ST","NOT DELIVERED",4/25/1993,,0.7466
32,9636,"Arts and crafts",Domestic,Express,478,705,"1100 Block of OCEAN AV","900 Block of DEHARO ST","NOT DELIVERED",8/30/2004,,0.678
420,9943,"Industrial Equipments",Domestic,Express,638,1130,"BRYANT ST / 4TH ST","1300 Block of MISSION ST","NOT DELIVERED",1/2/1989,,0.5646
708,1246,"Industrial Equipments",Domestic,Express,50,72,"900 Block of CONNECTICUT ST","LEAVENWORTH ST / EDDY ST",DELIVERED,2/19/2019,7/31/2019,0.6944
227,4527,"Industrial Equipments",International,Regular,477,564,"POLK ST / BEACH ST","700 Block of LARKIN ST",DELIVERED,1/25/2002,1/5/2002,0.8457
595,3782,Fashion,International,Regular,879,1040,"37TH AV / RIVERA ST","1200 Block of 36TH AV","NOT DELIVERED",5/10/2003,,0.8452
211,6225,Electronics,Domestic,Express,912,1220,"FREMONT ST / HARRISON ST","0 Block of CRESTLAKE DR",DELIVERED,3/17/2006,12/23/2006,0.7475
650,2257,"Food and Beverages",International,Regular,868,1141,"400 Block of GENEVA AV","POWELL ST / OFARRELL ST","NOT DELIVERED",6/18/2007,,0.7607
45,9177,Healthcare,Domestic,Express,889,1050,"20TH ST / KANSAS ST","JEFFERSON ST / TAYLOR ST",DELIVERED,3/3/1996,5/1/1996,0.8467
201,8703,"Home Furnishing",Domestic,Regular,482,850,"4000 Block of 18TH ST","500 Block of ELLIS ST","NOT DELIVERED",12/2/1982,,0.5671
564,3514,Healthcare,International,Express,683,1275,"1400 Block of 14TH AV","1800 Block of DIVISADERO ST",DELIVERED,5/2/2004,9/25/2004,0.5357
138,3089,"Home Furnishing",Domestic,Regular,382,714,"200 Block of 2ND ST","0 Block of THRIFT ST","NOT DELIVERED",2/22/2008,,0.535
57,7253,Construction,Domestic,Regular,753,1027,"2900 Block of TURK ST","300 Block of DEMONTFORT AV",DELIVERED,3/18/2004,3/2/2004,0.7332
128,8786,"Arts and crafts",International,Express,718,1486,"0 Block of 7TH ST","300 Block of 10TH ST","NOT DELIVERED",3/22/1992,,0.4832
33,1211,"Industrial Equipments",Domestic,Express,577,1312,"0 Block of CUMBERLAND ST","200 Block of POPLAR ST","NOT DELIVERED",4/5/1988,,0.4398
936,359,Electronics,International,Express,607,1007,"1100 Block of POLK ST","800 Block of OFARRELL ST","NOT DELIVERED",2/9/2013,,0.6028
762,2066,Automotive,International,Regular,242,926,"16TH ST / UTAH ST","400 Block of CASTRO ST","NOT DELIVERED",3/21/1978,,0.2613
838,4322,"Industrial Equipments",International,Express,593,1036,"100 Block of GOLDEN GATE AV","800 Block of MISSION ST",DELIVERED,1/5/1995,8/23/1995,0.5724
215,7773,Electronics,Domestic,Express,812,1161,"1500 Block of POLK ST","600 Block of KANSAS ST",DELIVERED,1/10/1985,1/31/1985,0.6994
818,6746,"Hazardous Goods",Domestic,Express,833,1016,"POLK ST / SUTTER ST","1200 Block of NOE ST",DELIVERED,8/28/2006,10/20/2006,0.8199
780,6732,Healthcare,International,Express,872,1058,"100 Block of BREWSTER ST","900 Block of MARKET ST",DELIVERED,10/12/1989,10/17/1989,0.8242
40,805,"Arts and crafts",Domestic,Regular,483,648,"0 Block of TURK ST","900 Block of CAPITOL AV","NOT DELIVERED",5/3/1980,,0.7454
366,7540,Fashion,International,Regular,679,1015,"1700 Block of SUNNYDALE AV","400 Block of BAKER ST",DELIVERED,3/1/1980,3/16/1980,0.669
678,5269,"Hazardous Goods",International,Express,318,938,"SOUTH VAN NESS AV / 13TH ST","100 Block of LELAND AV","NOT DELIVERED",1/15/1994,,0.339
703,8404,"Home Furnishing",Domestic,Express,329,597,"22ND ST / CAROLINA ST","2600 Block of FOLSOM ST","NOT DELIVERED",1/25/2017,,0.5511
180,519,Luggage,Domestic,Regular,588,1182,"POWELL ST / GEARY ST","3RD ST / PALOU AV","NOT DELIVERED",4/1/1975,,0.4975
214,4060,"Food and Beverages",International,Regular,442,713,"2500 Block of MISSION ST","2600 Block of 34TH AV",DELIVERED,3/6/1987,8/9/1987,0.6199
408,8860,"Hazardous Goods",Domestic,Express,216,939,"600 Block of VALENCIA ST","500 Block of 9TH ST",DELIVERED,2/21/1990,9/11/1990,0.23
902,7164,Construction,Domestic,Express,946,1082,"300 Block of OFARRELL ST","0 Block of RAE AV",DELIVERED,1/6/1989,9/17/1989,0.8743
763,9792,Luggage,International,Express,796,1347,"1700 Block of FULTON ST","100 Block of GOLDEN GATE AV",DELIVERED,6/29/2014,9/9/2014,0.5909
168,9934,"Arts and crafts",Domestic,Regular,26,47,"DIVISADERO ST / JACKSON ST","0 Block of DESOTO ST",DELIVERED,1/5/1997,6/12/1997,0.5532
723,1980,Automotive,Domestic,Express,490,762,"SILLIMAN ST / BOWDOIN ST","200 Block of LEAVENWORTH ST","NOT DELIVERED",7/23/1981,,0.643
438,9251,"Home Furnishing",Domestic,Regular,430,642,"2300 Block of CHESTNUT ST","LAKE MERCED BL / SUNSET BL",DELIVERED,3/26/1977,3/30/1977,0.6698
162,6717,"Arts and crafts",Domestic,Express,209,665,"500 Block of VALENCIA ST","6TH ST / STEVENSON ST",DELIVERED,6/10/1982,10/29/1982,0.3143
246,3622,Automotive,International,Express,379,963,"800 Block of 47TH AV","0 Block of LURLINE ST",DELIVERED,3/3/2019,3/1/2019,0.3936
105,8808,"Industrial Equipments",Domestic,Regular,949,1419,"KEITH ST / THOMAS AV","100 Block of CAPP ST","NOT DELIVERED",8/27/1997,,0.6688
308,4920,Electronics,Domestic,Express,438,656,"LYON ST / OFARRELL ST","1200 Block of NOE ST","NOT DELIVERED",1/28/1979,,0.6677
172,3140,"Food and Beverages",International,Express,726,1381,"0 Block of HARRISON ST","1200 Block of GOLDEN GATE AV",DELIVERED,10/29/2004,10/26/2004,0.5257
775,8104,"Home Furnishing",Domestic,Express,451,713,"0 Block of 6TH ST","1400 Block of RANKIN ST","NOT DELIVERED",9/28/2004,,0.6325
333,2208,Luggage,Domestic,Regular,812,1104,"1800 Block of DONNER AV","19TH AV / LINCOLN WY",DELIVERED,1/12/2013,8/11/2013,0.7355
548,7043,Healthcare,International,Regular,240,571,"800 Block of INGERSON AV","MISSION ST / 2ND ST","NOT DELIVERED",6/17/2012,,0.4203
665,7485,"Arts and crafts",Domestic,Regular,982,1405,"1300 Block of REVERE AV","0 Block of WILLIAR AV",DELIVERED,1/12/2010,4/27/2010,0.6989
305,1748,Automotive,Domestic,Express,954,1473,"0 Block of DORE ST","100 Block of TURK ST",DELIVERED,8/11/1992,11/1/1992,0.6477
938,9968,"Hazardous Goods",Domestic,Regular,35,20,"1200 Block of THE EMBARCADERONORTH ST","500 Block of BRANNAN ST","NOT DELIVERED",12/21/2018,,1.75
714,5330,Electronics,Domestic,Express,148,835,"PIERCE ST / LOMBARD ST","8TH AV / CLEMENT ST",DELIVERED,4/22/2011,6/8/2011,0.1772
251,2183,"Food and Beverages",International,Regular,422,651,"1700 Block of NEWCOMB AV","1500 Block of LASALLE AV",DELIVERED,10/25/2003,12/2/2003,0.6482
330,2182,"Home Furnishing",Domestic,Express,275,653,"2300 Block of 25TH AV","HOLLYPARK CR / MURRAY ST","NOT DELIVERED",2/8/2012,,0.4211
69,1087,Healthcare,Domestic,Regular,367,740,"2000 Block of MISSION ST","2400 Block of SAN BRUNO AV",DELIVERED,3/14/2018,8/30/2018,0.4959
969,4296,"Industrial Equipments",International,Express,507,1334,"1100 Block of CONNECTICUT ST","1700 Block of 22ND AV",DELIVERED,3/19/2013,3/9/2013,0.3801
974,9784,Automotive,International,Regular,442,770,"1000 Block of POTRERO AV","0 Block of LEAVENWORTH ST",DELIVERED,4/23/2013,6/21/2013,0.574
526,6210,"Arts and crafts",International,Regular,510,1205,"500 Block of 41ST AV","500 Block of GUERRERO ST",DELIVERED,2/10/1991,7/3/1991,0.4232
510,5781,Fashion,International,Regular,117,716,"700 Block of MARKET ST","ELLIS ST / HYDE ST","NOT DELIVERED",10/4/1976,,0.1634
444,8306,Construction,Domestic,Express,973,1250,"0 Block of CASTLEMANOR AV","LANE ST / REVERE AV","NOT DELIVERED",10/25/1987,,0.7784
503,3270,"Food and Beverages",Domestic,Regular,243,935,"GEARY ST / HYDE ST","1200 Block of MARKET ST",DELIVERED,3/26/1974,5/25/1974,0.2599
109,6787,Luggage,Domestic,Express,715,1185,"2000 Block of MISSION ST","500 Block of 39TH AV","NOT DELIVERED",5/18/2014,,0.6034
823,3733,Healthcare,Domestic,Express,571,1031,"700 Block of STANYAN ST","600 Block of MISSION ST",DELIVERED,5/18/1975,5/20/1975,0.5538
147,207,"Industrial Equipments",Domestic,Express,369,646,"300 Block of ATHENS ST","1400 Block of CLAY ST",DELIVERED,3/20/2005,9/15/2005,0.5712
625,3,"Industrial Equipments",International,Regular,318,980,"5600 Block of DIAMONDHEIGHTS BL","100 Block of ELLIOT ST","NOT DELIVERED",10/3/2018,,0.3245
695,1896,"Food and Beverages",Domestic,Regular,266,833,"2000 Block of MISSION ST","4600 Block of IRVING ST","NOT DELIVERED",9/25/2013,,0.3193
983,9631,"Home Furnishing",International,Regular,60,166,"200 Block of TURK ST","0 Block of ANKENY ST","NOT DELIVERED",7/9/1993,,0.3614
82,3132,Luggage,International,Express,121,557,"NATOMA ST / 2ND ST","3500 Block of MISSION ST","NOT DELIVERED",5/29/1997,,0.2172
397,1202,Automotive,International,Express,876,1045,"1600 Block of DONNER AV","800 Block of LARKIN ST","NOT DELIVERED",2/29/2004,,0.8383
599,8834,"Industrial Equipments",Domestic,Regular,946,1100,"400 Block of ELLIS ST","800 Block of MOSCOW ST","NOT DELIVERED",8/31/2001,,0.86
306,1201,"Hazardous Goods",Domestic,Regular,654,1150,"100 Block of LEAVENWORTH ST","100 Block of PERSIA AV",DELIVERED,1/28/1983,7/22/1983,0.5687
536,2573,Construction,Domestic,Express,74,281,"100 Block of POWELL ST","0 Block of TAYLOR ST",DELIVERED,9/23/2016,9/21/2016,0.2633
20,6759,Construction,Domestic,Regular,630,1062,"1600 Block of 39TH AV","PARNASSUS AV / CLAYTON ST","NOT DELIVERED",9/29/2017,,0.5932
515,2601,Healthcare,Domestic,Express,782,1425,"MARKET ST / CHURCH ST","LOMBARD ST / LEAVENWORTH ST","NOT DELIVERED",1/1/1996,,0.5488
332,2656,Luggage,International,Regular,45,39,"100 Block of UPPER TR","POST ST / HYDE ST","NOT DELIVERED",9/14/2008,,1.1538
127,9645,Luggage,International,Express,916,1143,"300 Block of SALINAS AV","1900 Block of FILLMORE ST",DELIVERED,1/8/2006,1/9/2006,0.8014
958,584,"Hazardous Goods",International,Express,274,669,"0 Block of GOLDEN GATE AV","900 Block of MARIPOSA ST","NOT DELIVERED",2/24/2016,,0.4096
42,2121,"Arts and crafts",Domestic,Regular,987,1134,"MINNA ST / 5TH ST","MARKET ST / 5TH ST",DELIVERED,1/20/1979,9/12/1979,0.8704
977,2142,"Arts and crafts",International,Regular,434,558,"200 Block of MISSOURI ST","900 Block of ELLSWORTH ST",DELIVERED,2/3/2002,10/20/2002,0.7778
460,2396,Electronics,International,Express,897,1313,"100 Block of EDDY ST","1400 Block of KIRKWOOD CT",DELIVERED,4/16/2005,9/15/2005,0.6832
659,8747,Automotive,International,Regular,442,595,"0 Block of UNITEDNATIONS PZ","200 Block of HAHN ST",DELIVERED,2/21/1998,9/11/1998,0.7429
197,4142,"Food and Beverages",Domestic,Express,98,360,"300 Block of BUCHANAN ST","2800 Block of BRYANT ST",DELIVERED,3/29/1989,8/23/1989,0.2722
540,9770,Luggage,International,Express,431,934,"4000 Block of GEARY BL","1000 Block of POTRERO AV",DELIVERED,4/21/1977,11/8/1977,0.4615
178,2593,Construction,International,Express,745,1383,"3100 Block of 23RD ST","GEARY ST / POWELL ST",DELIVERED,1/1/2009,1/26/2009,0.5387
202,9807,"Home Furnishing",International,Express,871,1274,"200 Block of HAHN ST","600 Block of VALENCIA ST",DELIVERED,1/27/2001,8/3/2001,0.6837
632,2525,"Industrial Equipments",Domestic,Regular,67,193,"CAPP ST / 17TH ST","ALEMANY BL / ELLSWORTH ST",DELIVERED,8/26/1992,12/25/1992,0.3472
25,1724,"Home Furnishing",Domestic,Express,431,702,"4TH ST / HARRISON ST","600 Block of CLAY ST",DELIVERED,5/29/2004,5/17/2004,0.614
990,7146,Construction,International,Regular,178,646,"700 Block of BATTERY ST","0 Block of MARINA BL",DELIVERED,5/18/2003,11/28/2003,0.2755
913,563,"Home Furnishing",Domestic,Express,180,755,"5TH ST / MARKET ST","MONTGOMERY ST / VALLEJO ST","NOT DELIVERED",5/8/1974,,0.2384
371,7771,"Arts and crafts",Domestic,Express,280,990,"2400 Block of MISSION ST","BEACH ST / TAYLOR ST","NOT DELIVERED",7/3/1975,,0.2828
514,4789,"Hazardous Goods",Domestic,Express,263,965,"TARAVAL ST / 17TH AV","EDDY ST / MASON ST","NOT DELIVERED",5/18/1982,,0.2725
707,3221,Automotive,Domestic,Regular,187,931,"19TH ST / SHOTWELL ST","7TH ST / STEVENSON ST","NOT DELIVERED",6/19/2007,,0.2009
473,5197,"Arts and crafts",International,Regular,94,361,"2300 Block of 14TH AV","0 Block of 12TH ST",DELIVERED,1/25/2012,1/17/2012,0.2604
847,8183,Fashion,International,Express,906,1297,"2100 Block of MISSION ST","1100 Block of FOLSOM ST","NOT DELIVERED",4/17/1983,,0.6985
815,1126,Healthcare,International,Regular,71,130,"1400 Block of VANDYKE AV","EDDY ST / VANNESS AV",DELIVERED,1/30/2010,3/2/2010,0.5462
928,4899,"Hazardous Goods",International,Express,253,904,"800 Block of MARKET ST","800 Block of MARKET ST","NOT DELIVERED",9/5/1973,,0.2799
210,4732,"Home Furnishing",International,Express,591,1433,"300 Block of COLLINGWOOD ST","900 Block of MARKET ST","NOT DELIVERED",10/23/2005,,0.4124
793,4103,Automotive,Domestic,Regular,399,835,"400 Block of ELLIS ST","17TH ST / SHOTWELL ST","NOT DELIVERED",7/6/1996,,0.4778
872,7861,Automotive,International,Express,91,242,"21ST ST / POTRERO AV","400 Block of GENEVA AV",DELIVERED,5/21/2008,5/17/2008,0.376
298,7764,"Hazardous Goods",International,Regular,717,1297,"200 Block of 11TH AV","400 Block of TURK ST","NOT DELIVERED",5/13/1979,,0.5528
941,5345,"Food and Beverages",International,Regular,735,1181,"17TH ST / FOLSOM ST","400 Block of BRIGHT ST",DELIVERED,7/1/2010,8/28/2010,0.6224
731,6191,"Hazardous Goods",Domestic,Express,970,1242,"KEITH ST / SHAFTER AV","0 Block of SPOFFORD LN","NOT DELIVERED",7/5/1983,,0.781
500,310,"Arts and crafts",Domestic,Regular,80,236,"900 Block of LARKIN ST","900 Block of STOCKTON ST","NOT DELIVERED",7/5/1980,,0.339
142,3095,"Arts and crafts",Domestic,Express,550,1171,"400 Block of TURK ST","MADRID ST / RUSSIA AV","NOT DELIVERED",8/21/1983,,0.4697
787,2159,"Arts and crafts",International,Express,187,864,"0 Block of OFARRELL ST","200 Block of TURK ST",DELIVERED,3/28/2011,6/25/2011,0.2164
749,3569,Automotive,International,Express,262,875,"0 Block of PAYSON ST","0 Block of POWELL ST",DELIVERED,4/30/2014,7/2/2014,0.2994
304,5958,"Food and Beverages",Domestic,Regular,540,1172,"500 Block of STEVENSON ST","HYDE ST / TURK ST",DELIVERED,3/20/2004,9/25/2004,0.4608
30,1275,Fashion,Domestic,Regular,581,1422,"CALIFORNIA ST / DAVIS ST","0 Block of STOCKTON ST",DELIVERED,2/19/2010,3/9/2010,0.4086
477,6357,Fashion,International,Regular,840,1061,"400 Block of LEAVENWORTH ST","NEWCOMB AV / 3RD ST","NOT DELIVERED",9/7/1986,,0.7917
52,4551,"Hazardous Goods",Domestic,Express,873,1199,"1000 Block of COLUMBUS AV","1400 Block of PHELPS ST","NOT DELIVERED",5/20/2016,,0.7281
73,4252,"Home Furnishing",Domestic,Express,315,937,"800 Block of BRYANT ST","3800 Block of 24TH ST","NOT DELIVERED",3/6/1993,,0.3362
691,2096,"Industrial Equipments",Domestic,Regular,955,1369,"5TH ST / MISSION ST","1500 Block of HAIGHT ST",DELIVERED,5/2/2012,8/20/2012,0.6976
786,5209,Healthcare,International,Express,372,679,"3600 Block of SACRAMENTO ST","SCOTT ST / CHESTNUT ST",DELIVERED,6/6/1976,8/31/1976,0.5479
68,9271,"Arts and crafts",Domestic,Express,182,726,"1700 Block of FULTON ST","300 Block of HAIGHT ST","NOT DELIVERED",7/30/2004,,0.2507
630,6772,"Hazardous Goods",Domestic,Regular,868,1320,"3300 Block of BALBOA ST","300 Block of ELLIS ST",DELIVERED,2/23/2009,9/29/2009,0.6576
357,4628,Healthcare,International,Express,777,1113,"200 Block of KING ST","0 Block of FUENTE AV","NOT DELIVERED",10/11/1990,,0.6981
455,3853,Construction,International,Regular,172,580,"LASALLE AV / PHELPS ST","2000 Block of MISSION ST","NOT DELIVERED",10/8/2011,,0.2966
